Entries in the tree: 26492
------> 5 13 1013 -1
------> 5 13 1014 -1
------> 5 13 1015 -1
------> 5 13 1016 -1
------> 5 13 1017 -1
------> 5 13 1018 -1
------> 5 13 1019 -1
------> 5 13 1020 -1
------> 5 13 1021 -1
------> 5 13 1022 -1
------> 5 13 1023 -1
------> 5 13 1024 -1
------> 5 13 1025 -1
------> 5 13 1026 -1
------> 5 13 1027 -1
------> 5 13 1028 -1
------> 5 13 1029 -1
------> 5 13 1030 -1
------> 5 13 1031 -1
------> 5 13 1032 -1
------> 5 13 1033 -1
------> 5 13 1034 -1
------> 5 13 1035 -1
------> 5 13 1036 -1
------> 5 13 1037 -1
------> 5 13 1038 -1
------> 5 13 1039 -1
------> 5 13 1040 -1
------> 5 13 1041 -1
------> 5 13 1042 -1
------> 5 13 1043 -1
------> 5 13 1044 -1
------> 5 13 1045 -1
------> 5 13 1046 -1
------> 5 13 1047 -1
------> 5 13 1048 -1
------> 5 13 1049 -1
------> 5 13 1050 -1
------> 5 13 1051 -1
------> 5 13 1052 -1
------> 5 13 1053 -1
------> 5 13 1054 -1
------> 5 13 1055 -1
------> 5 13 1056 -1
------> 5 13 1057 -1
------> 5 13 1058 -1
------> 5 13 1059 -1
------> 5 13 1060 -1
------> 5 13 1061 -1
------> 5 13 1062 -1
------> 5 13 1063 -1
------> 5 13 1064 -1
------> 5 13 1065 -1
------> 5 13 1066 -1
------> 5 13 1067 -1
------> 5 13 1068 -1
------> 5 13 1069 -1
------> 5 13 1070 -1
------> 5 13 1071 -1
------> 5 13 1072 -1
------> 5 13 1073 -1
------> 5 13 1074 -1
------> 5 13 1075 -1
------> 5 13 1076 -1
------> 5 13 1077 -1
------> 5 13 1078 -1
------> 5 13 1079 -1
------> 5 13 1080 -1
------> 5 13 1081 -1
------> 5 13 1082 -1
------> 5 13 1083 -1
------> 5 13 1084 -1
------> 5 13 1085 -1
------> 5 13 1086 -1
------> 5 13 1087 -1
------> 5 13 1088 -1
------> 5 13 1089 -1
------> 5 13 1090 -1
------> 5 13 1091 -1
------> 5 13 1092 -1
------> 5 13 1093 -1
------> 5 13 1094 -1
------> 5 13 1095 -1
------> 5 13 1096 -1
------> 5 13 1097 -1
------> 5 13 1098 -1
------> 5 13 1099 -1
------> 5 13 1100 -1
------> 5 13 1101 -1
------> 5 13 1102 -1
------> 5 13 1103 -1
------> 5 13 1104 -1
------> 5 13 1105 -1
------> 5 13 1106 -1
------> 5 13 1107 -1
------> 5 13 1108 -1
------> 5 13 1109 -1
------> 5 13 1110 -1
------> 5 13 1111 -1
------> 5 13 1112 -1
------> 5 13 1113 -1
------> 5 13 1114 -1
------> 5 13 1115 -1
------> 5 13 1116 -1
------> 5 13 1117 -1
------> 5 13 1118 -1
------> 5 13 1119 -1
------> 5 13 1120 -1
------> 5 13 1121 -1
------> 5 13 1122 -1
------> 5 13 1123 -1
------> 5 13 1124 -1
------> 5 13 1125 -1
------> 5 13 1126 -1
------> 5 13 1127 -1
------> 5 13 1128 -1
------> 5 13 1129 -1
------> 5 13 1130 -1
------> 5 13 1131 -1
------> 5 13 1132 -1
------> 5 13 1133 -1
------> 5 13 1134 -1
------> 5 13 1135 -1
------> 5 13 1136 -1
------> 5 13 1137 -1
------> 5 13 1138 -1
------> 5 13 1139 -1
------> 5 13 1140 -1
------> 5 13 1141 -1
------> 5 13 1142 -1
------> 5 13 1143 -1
------> 5 13 1144 -1
------> 5 13 1145 -1
------> 5 13 1146 -1
------> 5 13 1147 -1
